SystemDisplayName,EntitlementDisplayName,RulesCount,InTargetSystem
Microsoft Active Directory,FS-CB12-Dagbesteding-RW (avo.local/Sample/Groups/FS-CB12-Dagbesteding-RW),1,True
Microsoft Active Directory,FS-COM05-Communicatie-RO (avo.local/Sample/Groups/FS-COM05-Communicatie-RO),0,True
Microsoft Active Directory,FS-COM05-Communicatie-RW (avo.local/Sample/Groups/FS-COM05-Communicatie-RW),0,True
Microsoft Active Directory,FS-CZ08-Begeleiding-RO (avo.local/Sample/Groups/FS-CZ08-Begeleiding-RO),1,True
Microsoft Active Directory,FS-CZ08-Begeleiding-RW (avo.local/Sample/Groups/FS-CZ08-Begeleiding-RW),1,True
Microsoft Active Directory,FS-FAC04-Facilitair-RO (avo.local/Sample/Groups/FS-FAC04-Facilitair-RO),0,True
Microsoft Active Directory,FS-FAC04-Facilitair-RW (avo.local/Sample/Groups/FS-FAC04-Facilitair-RW),0,True
Microsoft Active Directory,FS-FIN01-Financien-RO (avo.local/Sample/Groups/FS-FIN01-Financien-RO),1,True
Microsoft Active Directory,FS-FIN01-Financien-RW (avo.local/Sample/Groups/FS-FIN01-Financien-RW),1,True
Microsoft Active Directory,FS-HRM02-Personeel-RO (avo.local/Sample/Groups/FS-HRM02-Personeel-RO),1,True
Microsoft Active Directory,FS-HRM02-Personeel-RW (avo.local/Sample/Groups/FS-HRM02-Personeel-RW),1,True
Microsoft Active Directory,FS-ICT03-Techniek-RO (avo.local/Sample/Groups/FS-ICT03-Techniek-RO),1,True
Microsoft Active Directory,FS-ICT03-Techniek-RW (avo.local/Sample/Groups/FS-ICT03-Techniek-RW),1,True
Microsoft Active Directory,FS-INK08-Inkoop-RO (avo.local/Sample/Groups/FS-INK08-Inkoop-RO),1,True
Microsoft Active Directory,FS-INK08-Inkoop-RW (avo.local/Sample/Groups/FS-INK08-Inkoop-RW),1,True
Microsoft Active Directory,FS-KWA07-Kwaliteit-RO (avo.local/Sample/Groups/FS-KWA07-Kwaliteit-RO),0,True
Microsoft Active Directory,FS-KWA07-Kwaliteit-RW (avo.local/Sample/Groups/FS-KWA07-Kwaliteit-RW),0,True
Microsoft Active Directory,FS-ZRG06-Wijkzorg-RO (avo.local/Sample/Groups/FS-ZRG06-Wijkzorg-RO),0,True
Microsoft Active Directory,FS-ZRG06-Wijkzorg-RW (avo.local/Sample/Groups/FS-ZRG06-Wijkzorg-RW),0,True
Microsoft Active Directory,LIC-M365-E1 (avo.local/Sample/Groups/LIC-M365-E1),0,True
Microsoft Active Directory,LIC-M365-E3 (avo.local/Sample/Groups/LIC-M365-E3),0,True
Microsoft Active Directory,LIC-M365-E5 (avo.local/Sample/Groups/LIC-M365-E5),0,True
Microsoft Active Directory,LIC-M365-F3 (avo.local/Sample/Groups/LIC-M365-F3),0,True
Microsoft Active Directory,LOG-Eventcollector (avo.local/Sample/Groups/LOG-Eventcollector),0,True
Microsoft Active Directory,MBX-CA010-Thuiszorg (avo.local/Sample/Groups/MBX-CA010-Thuiszorg),0,False
Microsoft Active Directory,MBX-CA060-Revalidatie (avo.local/Sample/Groups/MBX-CA060-Revalidatie),0,True
Microsoft Active Directory,MBX-CB12-Dagbesteding (avo.local/Sample/Groups/MBX-CB12-Dagbesteding),0,True
Microsoft Active Directory,MBX-COM05-Communicatie (avo.local/Sample/Groups/MBX-COM05-Communicatie),0,True
Microsoft Active Directory,MBX-CZ08-Begeleiding (avo.local/Sample/Groups/MBX-CZ08-Begeleiding),0,True
Microsoft Active Directory,MBX-FAC04-Facilitair (avo.local/Sample/Groups/MBX-FAC04-Facilitair),0,True
Microsoft Active Directory,MBX-FIN01-Financien (avo.local/Sample/Groups/MBX-FIN01-Financien),0,True
Microsoft Active Directory,MBX-HRM02-Personeel (avo.local/Sample/Groups/MBX-HRM02-Personeel),0,True
Microsoft Active Directory,MBX-ICT03-Techniek (avo.local/Sample/Groups/MBX-ICT03-Techniek),0,True
Microsoft Active Directory,MBX-INK08-Inkoop (avo.local/Sample/Groups/MBX-INK08-Inkoop),0,True
Microsoft Active Directory,MBX-KWA07-Kwaliteit (avo.local/Sample/Groups/MBX-KWA07-Kwaliteit),0,True
Microsoft Active Directory,MBX-ZRG06-Wijkzorg (avo.local/Sample/Groups/MBX-ZRG06-Wijkzorg),0,True
Microsoft Active Directory,PRINT-Default (avo.local/Sample/Groups/PRINT-Default),0,True
Microsoft Active Directory,PRIV-Noodprocedure-Breakglass (avo.local/Sample/Groups/PRIV-Noodprocedure-Breakglass),0,True
Microsoft Active Directory,PRIV-PAM-Kluis (avo.local/Sample/Groups/PRIV-PAM-Kluis),0,True
Microsoft Active Directory,ROLE-CA010-Thuiszorg (avo.local/Sample/Groups/ROLE-CA010-Thuiszorg),0,True
Microsoft Active Directory,ROLE-CA060-Revalidatie (avo.local/Sample/Groups/ROLE-CA060-Revalidatie),0,True
Microsoft Active Directory,ROLE-CB12-Dagbesteding (avo.local/Sample/Groups/ROLE-CB12-Dagbesteding),0,False
Microsoft Active Directory,ROLE-COM05-Communicatie (avo.local/Sample/Groups/ROLE-COM05-Communicatie),0,True
Microsoft Active Directory,ROLE-CZ08-Begeleiding (avo.local/Sample/Groups/ROLE-CZ08-Begeleiding),0,True
Microsoft Active Directory,ROLE-FAC04-Facilitair (avo.local/Sample/Groups/ROLE-FAC04-Facilitair),0,True
Microsoft Active Directory,ROLE-FIN01-Financien (avo.local/Sample/Groups/ROLE-FIN01-Financien),0,True
Microsoft Active Directory,ROLE-HRM02-Personeel (avo.local/Sample/Groups/ROLE-HRM02-Personeel),0,True
Microsoft Active Directory,ROLE-ICT03-Techniek (avo.local/Sample/Groups/ROLE-ICT03-Techniek),0,True
Microsoft Active Directory,ROLE-INK08-Inkoop (avo.local/Sample/Groups/ROLE-INK08-Inkoop),0,True
Microsoft Active Directory,ROLE-KWA07-Kwaliteit (avo.local/Sample/Groups/ROLE-KWA07-Kwaliteit),0,True
Microsoft Active Directory,ROLE-ZRG06-Wijkzorg (avo.local/Sample/Groups/ROLE-ZRG06-Wijkzorg),0,True
Microsoft Active Directory,SEC-Antivirus (avo.local/Sample/Groups/SEC-Antivirus),1,True
Microsoft Active Directory,SEC-DiskEncryption (avo.local/Sample/Groups/SEC-DiskEncryption),1,True
Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Sample/Groups/SEC-Endpoint-Protection),1,True
Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Sample/Groups/SEC-MFA-Enrolled),1,True
Microsoft Active Directory,SRV-Aanmelden-AlsService (avo.local/Sample/Groups/SRV-Aanmelden-AlsService),0,True
Microsoft Active Directory,SRV-Applicatieserver (avo.local/Sample/Groups/SRV-Applicatieserver),0,True
Microsoft Active Directory,SRV-RDP-Beheerservers (avo.local/Sample/Groups/SRV-RDP-Beheerservers),0,True
Microsoft Active Directory,TEAM-CA010-Thuiszorg (avo.local/Sample/Groups/TEAM-CA010-Thuiszorg),1,True
Microsoft Active Directory,TEAM-CA060-Revalidatie (avo.local/Sample/Groups/TEAM-CA060-Revalidatie),1,True
Microsoft Active Directory,TEAM-CB12-Dagbesteding (avo.local/Sample/Groups/TEAM-CB12-Dagbesteding),1,True
Microsoft Active Directory,TEAM-COM05-Communicatie (avo.local/Sample/Groups/TEAM-COM05-Communicatie),0,True
Microsoft Active Directory,TEAM-CZ08-Begeleiding (avo.local/Sample/Groups/TEAM-CZ08-Begeleiding),1,True
Microsoft Active Directory,TEAM-FAC04-Facilitair (avo.local/Sample/Groups/TEAM-FAC04-Facilitair),0,True
Microsoft Active Directory,TEAM-FIN01-Financien (avo.local/Sample/Groups/TEAM-FIN01-Financien),1,True
Microsoft Active Directory,TEAM-HRM02-Personeel (avo.local/Sample/Groups/TEAM-HRM02-Personeel),1,True
Microsoft Active Directory,TEAM-ICT03-Techniek (avo.local/Sample/Groups/TEAM-ICT03-Techniek),1,True
Microsoft Active Directory,TEAM-INK08-Inkoop (avo.local/Sample/Groups/TEAM-INK08-Inkoop),0,True
Microsoft Active Directory,TEAM-KWA07-Kwaliteit (avo.local/Sample/Groups/TEAM-KWA07-Kwaliteit),0,True
Microsoft Active Directory,TEAM-ZRG06-Wijkzorg (avo.local/Sample/Groups/TEAM-ZRG06-Wijkzorg),0,True
Microsoft Active Directory,VPN-Thuiswerken (avo.local/Sample/Groups/VPN-Thuiswerken),0,True
Microsoft Active Directory,WIFI-Personeel (avo.local/Sample/Groups/WIFI-Personeel),0,True
